,dialog,gameplan_prediction
24," what shall I do today? <<TURN>>  Today you will make  a salad <<TURN>>  First make a slice of lettuce <<TURN>>  done <<TURN>>  The lettuce is on the brown wooden table <<TURN>>  Next make a slice of tomato <<TURN>>  The tomato is in the sink <<TURN>>  done <<TURN>>  Next cook a slice of potato <<TURN>>  The potato is to the right of the toaster <<TURN>>  done <<TURN>>  what next? <<TURN>>  Cook another slice of potato <<TURN>>  Hurry <<TURN>>  done <<TURN>>  Now put thhe one slice of lettuce, slice of tomato and two slices of potato on a plate <<TURN>>  guide me correctly to make it fast <<TURN>>  where is the plate? <<TURN>>  The plate is on the table where the toaster is",Pickup Knife -- Slice Lettuce -- Place CounterTop -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup Pan -- Place DiningTable -- Pickup Potato -- Place DiningTable -- Pickup Knife -- Slice Potato -- Place DiningTable -- Pickup PotatoSliced -- Place CounterTop -- ToggleOff Microwave -- Open Microwave -- Pickup Potato -- Place CounterTop -- Pickup Mug -- Place CounterTop -- Pickup PotatoSliced -- Place Microwave -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Pickup PotatoSliced -- Place DiningTable -- Pickup PotatoSliced -- Place CounterTop -- Open Microwave -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced -- Place Microwave -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Open Microwave -- Pickup PotatoSliced -- Place CounterTop -- Close Microwave -- Pickup Plate -- Place CounterTop -- Pickup PotatoSliced -- Place Plate -- Pickup TomatoSliced -- Place CounterTop -- Pickup TomatoSliced -- Place Plate -- Pickup LettuceSliced -- Place Plate -- Pickup PotatoSliced -- Place Plate
25, what do i do today <<TURN>>  Please prepare breakfast <<TURN>>  Please prepare coffee <<TURN>>  Mug is in bin between sink and fridge <<TURN>>  where is the mug <<TURN>>  We need to make a salad <<TURN>>  Please slice lettuce which is in microwave <<TURN>>  yes <<TURN>>  Knife is on table left to you <<TURN>>  Slice tomato <<TURN>>  next <<TURN>>  Cook potato <<TURN>>  Slice potato and cook one slice <<TURN>>  potato is near sink,Pickup Mug -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine -- Place CoffeeMachine -- Pickup Mug -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine -- Pickup Mug -- Place CoffeeMachine -- Pickup Mug -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Mug -- Place CounterTop -- Open Microwave -- Pickup Lettuce -- Close Microwave -- Place DiningTable -- Pickup Knife -- Slice Lettuce -- Place DiningTable -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup Knife -- Slice Potato -- Place CounterTop
26," What shall I do today? <<TURN>>  Hello,you need to make a sandwich <<TURN>>  yOU NEED TO TOAST 2 PCS OF BREAD <<TURN>>  There is a knife in the microwave <<TURN>>  sorry for the CAPS <<TURN>>  Great. Next please slice the lettuce thereon your left <<TURN>>  Great. There is a plate in the upper cabinet above the sink <<TURN>>  No tomato in this sandwich please :) <<TURN>>  Okay <<TURN>>  Place 2 slices of toast and 1 slice of lettuce on the plate please",Pickup Knife -- Slice Bread -- Place DiningTable -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- ToggleOn Toaster -- ToggleOff Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster -- ToggleOff Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup Knife -- Slice Lettuce -- Slice Apple -- Place CounterTop -- Open Cabinet -- Pickup Plate -- Close Cabinet -- Place CounterTop -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced -- Place Plate -- Pickup LettuceSliced
27, how can i help? <<TURN>>  find watches <<TURN>>  ok <<TURN>>  put watch in box <<TURN>>  what should I do when i find themm? <<TURN>>  there is another one in recyle bin (blue),Pickup WateringCan -- Place SideTable -- Pickup RemoteControl -- Place CoffeeTable -- Pickup Box -- Place CoffeeTable -- Pickup Box -- Place CoffeeTable -- Pickup Watch
28, boil a whole potatoes in water <<TURN>>  hello <<TURN>>  potatoe <<TURN>>  hi <<TURN>>  its in the lower drawer to the left of the cooking stove <<TURN>>  the knife? <<TURN>>  dont cut...boil it whole <<TURN>>  where do I boil it? <<TURN>>  in the pot on the stove,Pickup Potato -- Place CounterTop -- Open Drawer -- Open Drawer -- Pickup Potato -- Close Drawer -- Close Drawer -- Place Pot -- Pickup Pot
29, What should  I do today? <<TURN>>  clean all the plates <<TURN>>  one plate is in cupboard above stove,Pickup Plate -- Place CounterTop -- Open Cabinet -- Open Cabinet
30," What shall I do today? <<TURN>>  we're gonna make some breakfast <<TURN>>  let's start with coffee <<TURN>>  there's a mug in the fridge <<TURN>>  next? <<TURN>>  we're going to make a salad <<TURN>>  there <<TURN>>  there's a knife to your right <<TURN>>  use that to cut lettuce, tomato, and a potato <<TURN>>  there's a tomato in the fridge",Open Fridge -- Pickup Mug -- Close Fridge -- ToggleOff Faucet -- Pour  -- ToggleOff CoffeeMachine -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Knife -- Slice Lettuce -- Place CounterTop -- Open Fridge -- Pickup Tomato -- Close Fridge
31, grab the purple object in the tub <<TURN>>  What task do I do today? <<TURN>>  take it to the sink but first turn off the water <<TURN>>  I have picked the purple object. What next? <<TURN>>  Going to the sink now. <<TURN>>  I have turned off the sink. <<TURN>>  drop it in the sink and turn on the water <<TURN>>  I have placed it in the sink.,Pickup Cloth -- ToggleOff Faucet -- Place  -- ToggleOn Faucet
32, hie <<TURN>>  hi <<TURN>>  please get the tomato from the top most left cabinet above the stove and slice it <<TURN>>  done <<TURN>>  what next <<TURN>>  go to the big cabinet right to the sink <<TURN>>  top most <<TURN>>  go right <<TURN>>  right <<TURN>>  go right <<TURN>>  this is the wrong cabinet <<TURN>>  no <<TURN>>  top most <<TURN>>  clean this bowl <<TURN>>  what i am se3arching for? <<TURN>>  ok,Open Cabinet -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Open Cabinet -- Open Cabinet -- Open Cabinet -- Close Cabinet -- Open Cabinet -- Pickup Bowl -- Close Cabinet -- Close Cabinet -- ToggleOff Faucet -- Place CounterTop -- Pickup Egg -- Place CounterTop -- Pickup Egg -- Place CounterTop -- Pickup Bowl -- Place CounterTop -- Pickup Cup -- Place CounterTop -- Pickup DishSponge -- Place CounterTop -- Pickup Bowl -- Place Sink -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Bowl -- Pour  -- Place CounterTop
33, slice tomato <<TURN>>  tomato in the fridge <<TURN>>  knife in the cabinet under the sink <<TURN>>  slice tomato <<TURN>>  after that wash bowl on table <<TURN>>  after cleaning the bowl place 1 slice of tomato <<TURN>>  where is the bowl <<TURN>>  right there <<TURN>>  lol,Open Fridge -- Pickup Tomato -- Place DiningTable -- Close Fridge -- Open Cabinet -- Open Cabinet -- Pickup Knife -- Slice Tomato -- Place DiningTable -- Close Cabinet -- Pickup Bowl -- Pour 
34," hello <<TURN>>  please make coffe <<TURN>>  the coffee cup is already at the coffee maker <<TURN>>  what should  I do today? <<TURN>>  pour coffee into cup at coffee pot <<TURN>>  Now place a slice of lettuce on a plate <<TURN>>  butter knife by stove will work <<TURN>>  Where is the knife? <<TURN>>  silver butter knife <<TURN>>  it works <<TURN>>  Slice of lettuce on plate on table <<TURN>>  great, now slice of tomato <<TURN>>  cook 1 slice potato and put on plate <<TURN>>  potato in sink <<TURN>>  Tomato slice and lettuce slice are on the plate",Pickup Mug -- ToggleOff CoffeeMachine -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Open Fridge -- Pickup ButterKnife -- ToggleOff Faucet -- Slice Lettuce -- Place DiningTable -- Pickup LettuceSliced -- Place Plate -- Pickup Tomato -- Place DiningTable -- Pickup ButterKnife -- Slice Tomato -- Place DiningTable -- Pickup ButterKnife -- Place DiningTable -- Pickup TomatoSliced -- Place Plate -- Pickup ButterKnife -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced
35, hi <<TURN>>  hello <<TURN>>  make a salad <<TURN>>  slice tomatoes first <<TURN>>  on the chair <<TURN>>  knife on the table <<TURN>>  tomato on the chair <<TURN>>  slice <<TURN>>  2 slices <<TURN>>  potato under the sink <<TURN>>  slice and cook <<TURN>>  grab potato,Pickup Knife -- Slice Tomato -- Place DiningTable -- Pickup Plate -- Place Sink -- Pickup Plate -- Place DiningTable
36, What can I do for you? <<TURN>>  slice a tomatoe please <<TURN>>  Done <<TURN>>  rsinse the dirty bowl on the dining table <<TURN>>  put 1 slice of tomato in the clean bowl <<TURN>>  pour out the water in the bowl,Pickup Tomato -- Place CounterTop -- Pickup ButterKnife -- Slice Tomato -- Place CounterTop -- Pickup Bowl -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Bowl -- Place CounterTop -- Pickup TomatoSliced -- Place Bowl
37, today we make a salad <<TURN>>  Hello <<TURN>>  slice  a lettuce using a knife <<TURN>>  knife is in the fridge <<TURN>>  I have sliced the lettuce <<TURN>>  What is next please <<TURN>>  please slice  a tomato <<TURN>>  tomato is on the stove,Pickup ButterKnife -- Place DiningTable -- ToggleOff Faucet -- Pickup Knife -- Place DiningTable -- Open Fridge -- Close Fridge -- Open Fridge -- Pickup Lettuce -- Close Fridge -- Place DiningTable -- Pickup Knife -- Slice Lettuce -- Place DiningTable -- Pickup Tomato -- Place DiningTable -- Pickup Knife -- Slice Tomato
